Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,posSent,negSent,compoundSent,repetitiveness
36,cool jerk,the capitols,1966,99,295,True,0.168,0.136,0.85,0.664
37,born a woman,sandy posey,1966,67,121,True,0.153,0.202,-0.6486,0.446
38,red rubber ball,the cyrkle,1966,99,225,True,0.098,0.101,-0.6741,0.56
39,baby,carla thomas,1966,64,167,True,0.194,0.095,0.9646,0.617
40,walk away renee,the left banke,1966,72,158,True,0.012,0.162,-0.9704,0.544
41,daydream,the lovin spoonful,1966,109,193,True,0.1,0.084,0.6336,0.435
42,time wont let me,the outsiders,1966,33,154,True,0.078,0.0,0.886,0.786
43,hooray for hazel,tommy roe,1966,93,239,True,0.205,0.107,0.9794,0.611
44,sweet pea,tommy roe,1966,78,251,True,0.254,0.0,0.9974,0.689
45,bus stop,the hollies,1966,94,218,True,0.185,0.086,0.9809,0.569
46,im your puppet,james  bobby purify,1966,83,181,True,0.208,0.126,0.9613,0.541
47,im so lonesome i could cry,bj thomas,1966,63,100,True,0.0,0.274,-0.9794,0.37
48,aint too proud to beg,the temptations,1966,96,270,True,0.301,0.062,0.9983,0.644
49,dirty water,the standells,1966,89,200,True,0.279,0.192,0.986,0.555
50,elusive butterfly,bob lind,1966,109,205,True,0.131,0.044,0.9616,0.468
51,i am a rock,simon  garfunkel,1966,84,166,True,0.152,0.197,-0.7972,0.494
52,crying time,ray charles,1966,83,156,True,0.148,0.133,0.6927,0.468
53,secret agent man,johnny rivers,1966,83,171,True,0.105,0.07,0.3182,0.515
54,the sound of silence,simon  garfunkel,1966,126,217,True,0.066,0.098,-0.8085,0.419
55,lady godiva,peter and gordon,1966,109,167,True,0.109,0.046,0.9169,0.347
56,homeward bound,simon  garfunkel,1966,87,191,True,0.161,0.092,0.9468,0.545
57,did you ever have to make up your mind,the lovin spoonful,1966,87,168,True,0.093,0.084,0.56,0.482
58,barefootin,robert parker,1966,85,173,True,0.016,0.012,0.1531,0.509
59,uptight everythings alright,stevie wonder,1966,121,263,False,0.208,0.142,0.9747,0.54
60,bang bang my baby shot me down,cher,1966,75,163,True,0.071,0.099,-0.5994,0.54
61,sloop john b,the beach boys,1966,85,267,True,0.063,0.105,-0.9418,0.682
62,19th nervous breakdown,the rolling stones,1966,123,312,False,0.088,0.184,-0.9892,0.606
63,wipe out,the surfaris,1966,3,5,True,0.783,0.0,0.7351,0.4
64,psychotic reaction,count five,1966,49,89,True,0.091,0.254,-0.947,0.449
65,beauty is only skin deep,the temptations,1966,121,260,True,0.208,0.034,0.992,0.535
66,no matter what shape your stomachs in,the tbones,1966,,,,,,,
67,just like me,paul revere  the raiders,1966,54,166,True,0.286,0.112,0.9891,0.675
68,love makes the world go round,deon jackson,1966,75,156,True,0.304,0.045,0.9946,0.519
69,the pied piper,crispian st peters,1966,57,139,True,0.081,0.052,0.6569,0.59
70,coming on strong,brenda lee,1966,68,125,True,0.207,0.146,0.8658,0.456
71,somewhere my love,ray conniff singers,1966,60,105,True,0.283,0.0,0.9876,0.429
72,almost persuaded,david houston,1966,81,111,True,0.097,0.018,0.836,0.27
73,if i were a carpenter,bobby darin,1966,62,126,True,0.139,0.08,0.872,0.508
74,dont mess with bill,the marvelettes,1966,90,234,True,0.203,0.181,0.3027,0.615
75,cherry cherry,neil diamond,1966,77,213,False,0.135,0.056,0.9629,0.638
76,working in the coal mine,lee dorsey,1966,44,332,True,0.026,0.081,-0.9684,0.867
77,message to michael,dionne warwick,1966,89,169,True,0.135,0.026,0.9618,0.473
